"Amostra","Latitude","Longitude","Elevation","Ca","Mg","Na","Cl","HCo3","Co3","No3","RS"
"PD-39",-15.0380555555556,-41.2586111111111,844.9004,8.8,5.34,9,15,56.12,0,10.5,126
"PD-42",-15.1883333333333,-41.6219444444444,845,3.2,2.43,6.9,16,12.2,0,0,71
"PD-45",-15.5588888888889,-40.6108333333333,866.7002,0.7,2.43,1.4,1,17.08,0,0,30
"PD-46",-15.5497222222222,-41.3972222222222,686,328,315,330,1750,107.36,0,8,4043
"PD-47",-15.5169444444444,-41.5477777777778,687,10.8,11.42,23.8,78,48.8,0,0,220
"PD-51",-15.3775,-39.7277777777778,289.5,204,162.81,236,980,161.04,0,0,2180
"PD-54",-15.2827777777778,-40.1402777777778,276.6006,5.1,4,12.5,15,15.81,0,0.4,116
"PD-55",-15.57,-40.4755555555556,289,9.2,17.8,36,62.72,0,0,4.4,443
"PD-56",-14.8566666666667,-40.5769444444444,830.6006,64.23,38.19,150,200,32.22,0,22,1070
"PD-57",-15.6844444444444,-39.0022222222222,20.799805,13.48,8.2,9.5,7.8,110.44,0,4.4,201
"PD-58",-15.3680555555556,-41.2011111111111,788.7998,36.95,40.02,85.2,170,51.66,0,15.4,704
"PD-59",-15.4961111111111,-41.2266666666667,701.9004,1.42,24.4,110,110,10.27,0,22,718
"PD-60",-15.3044444444444,-41.375,824.9004,470,430,400,1100,243,0,0.4,6020
"PD-61",-15.3475,-41.3286111111111,827.7998,318,300,400,750,444.67,0,0.4,4300
"PD-62",-15.175,-41.3469444444444,806,45.36,27.03,5.8,5,280.41,0,0.4,258
"PD-63",-15.3022222222222,-40.28,301.7998,6.1,3.06,3.5,11.76,17.14,0,1.8,31
"PD-64",-15.275,-40.0577777777778,252.7002,48.69,52.72,140,170,34.64,0,44,1190
"PD-65",-15.7863888888889,-39.5138888888889,294.2002,14.75,8.3,16.8,21,62.76,0,3.1,1830
"PD-67",-15.1838888888889,-41.6063888888889,826.7998,2.1,1.4,8.7,9.8,6.6,0,1.8,45
"PD-68",-15.1111111111111,-41.0508333333333,809.7998,3.7,4.5,7.1,14.7,19.87,0,1.8,33
"PD-69",-14.9930555555556,-40.7869444444444,860.9004,97.72,47.04,100,220,116.37,0,110,1070
"PD-70",-14.8338888888889,-40.8794444444444,990,44.09,17.32,33,24,206.89,0,0.4,1370
"PD-71",-14.8636111111111,-40.7683333333333,987.7998,18.58,35.08,270,510,3.95,0,17.6,1070
"PD-72",-14.9588888888889,-40.9397222222222,822,29.48,19.05,72.49,120,0,0,0.9,534
"PD-73",-15.05,-40.9605555555556,833.1006,44.21,26.43,69.7,98,78.15,0,2.6,557
"PD-74",-14.9202777777778,-40.8286111111111,878.7998,28.03,4.4,21.22,33.32,96.3,0,0.9,180
"PD-75",-14.9202777777778,-40.7983333333333,822.7998,17.76,8,43,17.6,95.1,0,22,311
"PD-76",-14.7680555555556,-40.6988888888889,928.7002,1.9,0.9,9.5,18.4,0,6.6,72,
"PD-77",-14.8672222222222,-40.8377777777778,881.7002,1.4,0.8,9,2.9,28.07,0,0.4,128
"PD-78",-15.7341666666667,-41.4244444444445,825.7002,73.9,36.7,16.8,6,231.65,0,6.6,614
"PD-79",-15.9344444444444,-41.8333333333333,922.9004,420,270,150,580,145.72,0,22,3650
"PG-02",-12.0180555555556,-41.6652777777778,838.9004,271,32.23,67.5,430,117.12,0,14.5,1530
"PG-03",-12.2530555555556,-41.6194444444445,660.2002,52.7,26.73,7.5,30,217.16,0,3.5,348
"PG-04",-12.7105555555556,-41.8255555555556,942.4004,40.8,26.73,4,11,236.68,0,0,250
"PG-05",-12.0044444444444,-41.7383333333333,799,51.2,26.7,13.6,90,151.3,7.2,0,416
"PG-07",-12.7730555555556,-41.5338888888889,996.9004,0.4,1,1.3,3,4.9,0,0,52
"PG-08",-12.5730555555556,-41.8180555555556,861.7002,78.4,34.02,18.5,116,187.88,0,60,583
"PG-104",-12.2166666666667,-38.2166666666667,120,6.4,3.89,13.75,29,8.54,0,20.5,120
"PG-105",-12.3166666666667,-38.3666666666667,121.200195,26.4,1.45,24,46,87.84,0,0,218
"PG-106",-12.2833333333333,-38.2166666666667,108.799805,8.8,5.35,7.75,14,24.4,0,25,100
"PG-108",-12.3583333333333,-38.2333333333333,83.100586,1.6647,2.43,13.75,24,8.54,0,5.8,70
"PG-11",-12.7505555555556,-41.9452777777778,1183.6006,24.8,4.86,11,24,85.4,0,0,172
"PG-110",-12.4,-38,90,9.6,6.8,32.5,71,12.08,0,0,438
"PG-111",-12.4,-38.4666666666667,100,1.6267,1.94,10.75,17,10.98,0,0,82
"PG-112",-12.4333333333333,-38.3666666666667,106.600586,135.2,13.61,33.75,78,414.8,0,0,776
"PG-113",-12.3833333333333,-38.15,53.799805,1.6862,1.94,10.75,20,8.54,0,0,56
"PG-114",-12.4833333333333,-38.6166666666667,73.700195,13.6,15.07,67.5,12.7,34.16,328,0,0
"PG-116",-12.5333333333333,-38.7166666666667,12.900391,64,38.88,197,270,500.2,0,3.2,1000
"PG-117",-12.5333333333333,-38.5666666666667,57.90039,16,3.4,9.5,13,68.32,0,0,120
"PG-118",-12.5166666666667,-38.5,41,12,9.23,49.5,88,4.88,0,78,334
"PG-122",-12.6,-38.4,26,1.762,1.46,5.4,10,6.1,0,0,34
"PG-123",-12.6,-38.6,92.100586,60.8,9.23,31,44,68.34,0,0,362
"PG-129",-12.7,-38.3166666666667,36,48,5.58,47,98,134.2,0,0,393
"PG-131",-12.8333333333333,-38.2666666666667,21,11.2,3.4,24.25,30,70.82,0,0,188
"PG-132",-12.8666666666667,-38.4333333333333,110.799805,9.6,1.46,7,13,26.84,0,0,85
"PG-133",-12,-38.3166666666667,201.90039,3.2,5.35,32.5,59,12.2,0,0,166
"PG-134",-12.0833333333333,-38.5,179.7998,7.2,8.75,19.5,45,14.64,0,0,196
"PG-141",-12.2666666666667,-38.9333333333333,235.7998,1.6324165,3.16,30,36,46.36,0,0,0
"PG-142",-12.2644444444444,-38.9333333333333,234.2002,15.2,10.69,25.5,23,89.6,0,0,0
"PG-144",-12.2527777777778,-38.9333333333333,234.7998,4.4,2.67,25.75,21,53.68,0,0,0
"PG-145",-12.2036111111111,-38.8705555555556,203.10059,3.6,13.6,227.5,360,43.94,0,0,0
"PG-146",-12.2938888888889,-38.8402777777778,158.10059,261,311.52,210,1,211.42,292.8,0,0
"PG-152",-12.7833333333333,-38.4,27.90039,52,2.67,29,27,63.44,0,0,0
"PG-153",-12.6805555555556,-41.2138888888889,382.9004,63.6,20.7,11.2,28.4,265,0,0,0
"PG-154",-12.6416666666667,-41.1722222222222,438.7998,57.1,7.2,9.45,21.5,198,0,2,0
"PG-155",-12.475,-41.0555555555556,538.9004,158,27.6,23.9,48,515,0,0,0
"PG-156",-12.5972222222222,-41.025,558.9004,103.5,35,41.3,21.5,545,0,0.5,794
"PG-157",-12.675,-41.0138888888889,573.7002,578,67,51,24,460,247,0,11.9
"PG-158",-12.6916666666667,-41.0055555555556,599.1006,47.6,44.8,29,75.5,320,0,0,0
"PG-159",-12.7277777777778,-40.4972222222222,295.2002,87.8,60,26.5,69,464,0,0,0
"PG-16",-12.0688888888889,-41.0933333333333,520,35.2,22.35,13.5,26,200.08,0,0,215
"PG-160",-12.1527777777778,-39.2361111111111,227.90039,56.6,141,605,800,930,0,0.5,0
"PG-162",-12.6555555555556,-40.7277777777778,443.2998,305,343,335,1,143,20,0,0
"PG-163",-12.6055555555556,-40.6916666666667,499,341,34.5,233,588,149,0,0,0
"PG-164",-12.6305555555556,-40.6638888888889,356.4004,478,645,910,3,739,382,0,3.9
"PG-165",-12.6611111111111,-40.6138888888889,320.9004,466,755,775,387,79,0,220,0
"PG-167",-12.5555555555556,-39.4777777777778,213,10.5,7.1,152,255,38.4,0,17.5,0
"PG-168",-12.5305555555556,-39.4472222222222,210,4.2,10.7,193,205,20.3,0,186,0
"PG-170",-12.5111111111111,-39.0083333333333,220.2002,1.285,6,52.8,61.4,6.1,0,79,0
"PG-171",-12.625,-39.1638888888889,216,3.4,3.5,30.8,24,21,0,463,0
"PG-173",-12.9083333333333,-39.1972222222222,191.5,538,507,585,3070,253,0,0.9,0
"PG-174",-12.1583333333333,-39.1138888888889,185,77.4,90,433,542,520,0,284,0
"PG-175",-12.2666666666667,-39.1972222222222,202.7998,189,210,980,1735,906,0,10.9,0
"PG-176",-12.3083333333333,-39.0305555555556,171.2002,35.3,110,463,558,784,0,33.8,0
"PG-177",-12.6055555555556,-39.0361111111111,225,6.8,5,13.4,25,12,0,29.7,0
"PG-178",-12.625,-40.9555555555556,615.9004,5.8,5.9,49.5,82.6,31,0,10.4,208
"PG-179",-12.6416666666667,-40.9416666666667,638.7002,260,102,140,745,323,0,0,0
"PG-18",-12.5041666666667,-41.2152777777778,396.7998,14.4,8.74,6.3,25,65.85,0,0,91
"PG-180",-12.3222222222222,-39.2916666666667,231.40039,126,206,412,796,549,0,432,0
"PG-181",-12.1277777777778,-39.6972222222222,515.7998,9.3,9,101.9,93.7,116,0,7.9,0
"PG-182",-13.2611111111111,-41.0222222222222,550.9004,267,85,170,502,475,0,7.6,1607
"PG-183",-13.2833333333333,-40.9611111111111,734,109,78,128,405,182,0,124,1109
"PG-184",-13.3,-40.9611111111111,654.2998,149,92,157,518,128,0,275,1354
"PG-185",-13.0805555555556,-41.0194444444444,549.9004,529,73.8,403,48,177,0,0.5,0
"PG-186",-13.2111111111111,-41.0527777777778,445.1006,195,80,80,186,490,0,4.3,1383
"PG-187",-13.2438888888889,-41.2305555555556,927.9004,601,161,278,700,427,0,0.5,0
"PG-188",-13.2138888888889,-41.0305555555556,489,729,142,232,1125,332,0,0.5,3707.6
"PG-189",-13.2027777777778,-40.9888888888889,666.6006,185,28,32.5,146,420,0,15.3,958.5
"PG-19",-12.5936111111111,-41.1441666666667,443.9004,104,36.45,37,22,322,0,2,673
"PG-190",-13.2222222222222,-40.9361111111111,630.1006,227,36.5,74,158,357,0,0.5,1193
"PG-191",-12.275,-40.9972222222222,632.4004,73.3,46.1,55.1,80,365,0,4.5,720
"PG-192",-12.3361111111111,-40.9055555555556,640,12.6,12,129,214,53,0,1,0
"PG-193",-12.3583333333333,-40.8583333333333,527,14.7,24.3,41.5,606,159,0,0.5,1216
"PG-194",-12.875,-39.8555555555556,409,49.8,26.7,106,151,11.4,0,214,623
"PG-195",-12.7,-39.7166666666667,239.90039,60,180,995,2060,87,0,74.7,0
"PG-197",-12.7166666666667,-39.1777777777778,222.90039,28.2,19,160,278,132,0,0.2,0
"PG-199",-12.7722222222222,-39.0333333333333,226.10059,13.8,25.3,94.3,216,35.4,0,0.2,0
"PG-20",-12.8033333333333,-41.3283333333333,417,0.8,0.97,0.8,2,6.1,0,0,15
"PG-200",-12.9916666666667,-39.3777777777778,245.60059,26.1,12.3,63.8,84,58,0,107,0
"PG-201",-12.9694444444444,-39.2611111111111,214.90039,14.5,15,89.7,125,0,0,147,0
"PG-202",-12.45,-39.2333333333333,210.90039,9.7,11.6,76.3,156,26.9,0,3.8,0
"PG-203",-12.4416666666667,-39.2166666666667,227.90039,16.5,18.5,140,191,177,0,0.2,0
"PG-204",-12.8472222222222,-39.0916666666667,203.90039,6.1,1.9,6.4,9.2,25,0,10,0
"PG-205",-12.7555555555556,-39.2111111111111,208.10059,2.7,3.3,40,34,9,0,15,0
"PG-206",-12.1666666666667,-39.3666666666667,257.6006,28.4,42.6,1230,3,109,714,0,99.5
"PG-207",-12.1472222222222,-39.3138888888889,292.9004,48.4,87.2,253,432,372,0,3.2,0
"PG-208",-12.1805555555556,-39.3222222222222,286.9004,42.5,80.4,354,360,372,0,460,0
"PG-209",-12.0972222222222,-41.575,751.9004,282,217,155,758,481,0,0.5,2357
"PG-21",-12.7183333333333,-41.2658333333333,395.9004,63.2,22.35,7.4,16,285.48,0,2.5,384
"PG-210",-12.0222222222222,-40.9916666666667,647,276,221,139,1120,286,0,11.2,2104
"PG-211",-12.095678,-40.9657,640.2002,291,134,285,1162,291,0,3.3,0
"PG-212",-12.0944444444444,-40.9888888888889,614.9004,292,112,126,674,463,0,2.5,0
"PG-213",-12.775,-41.4902777777778,1264.1006,0.25,0.17,1.55,2.6,3,0,0.3,8.9
"PG-214",-12.8125,-41.8277777777778,1042.2002,2.1,0.8,4.95,7,11,0,0.3,26.7
"PG-215",-12.0055555555556,-41.0513888888889,582.7998,35.5,19.7,12.2,22,198,0,1.1,298
"PG-217",-12.1138888888889,-41.1,566.9004,59.3,19.7,15.5,37.4,238,0,0,378.3
"PG-218",-12.9472222222222,-41.0944444444444,347.7998,91,11,2.8,4.3,318,0,0.1,434
