12.5719444444444,38.8952777777778,CA,Mg,Na,k
,,278.00,221.00,139.00,20.30
,,291.00,134.00,285.00,29.00
,,292.00,112.00,126.00,5.90
,,0.25,0.17,1.55,0.50
,,2.00,0.80,4.95,0.50
,,35.50,19.70,12.20,5.10
,,37.50,12.20,8.60,3.10
,,59.30,19.70,15.50,3.80
,,91.00,11.00,2.80,1.10
,,13.20,6.80,62.50,6.50
,,1.90,1.30,17.50,3.05
,,4.00,5.30,62.50,4.10
,,3.60,1.70,18.00,3.10
,,0.80,0.36,3.35,0.10
,,1.00,0.97,12.50,0.50
,,4.70,7.10,50.50,1.38
,,1.40,1.15,4.80,2.10
,,0.40,1.35,16.50,2.40
,,2.00,1.60,9.50,1.10
,,4.20,6.10,22.70,8.00
,,2.60,1.20,70.50,1.30
,,1.20,1.08,7.50,1.60
,,2.40,1.20,3.50,0.90
,,9.80,7.80,94.50,113.40
,,5.50,6.50,100.00,10.50
,,29.60,39.60,292.00,24.50
,,3.35,3.95,46.50,5.75
,,1.65,2.06,16.50,1.82
,,9.00,3.70,6.00,2.15
,,6.15,2.20,2.50,0.80
,,24.10,9.60,6.50,1.30
,,2.00,0.80,4.95,0.50
,,493.00,606.00,980.00,44.00
,,68.10,80.30,208.00,34.60
,,64.70,36.70,59.50,6.70
,,3.60,0.97,2.30,0.40
,,6.55,2.78,2.51,0.63
,,12.20,4.82,3.55,1.01
,,0.85,0.40,1.40,0.70
,,1.00,0.40,1.40,0.50
,,0.55,0.25,1.90,0.40
,,0.17,0.17,1.57,0.16
,,257.00,181.00,1095.00,66.00
,,123.00,128.00,318.00,18.70
,,3.80,3.45,6.35,6.35
,,0.60,0.18,3.50,0.20
,,17.80,5.50,5.35,2.15
,,12.60,6.10,7.50,2.00
,,167.00,215.00,453.00,25.00
,,154.00,211.00,465.00,27.20
,,89.00,120.00,225.00,40.00
,,5.70,2.25,2.30,0.70
,,10.40,4.08,3.09,0.86
,,4.35,2.65,4.65,0.46
,,8.15,3.28,2.60,0.67
,,20.70,11.10,9.50,2.85
,,20.90,11.30,9.50,2.80
,,0.17,0.25,2.60,0.20
,,3.60,1.70,18.00,3.10
,,1.00,0.97,12.50,0.50
,,2.60,2.00,46.00,17.40
,,2.90,1.60,18.20,0.50
,,0.95,0.85,5.25,0.90
,,11.00,10.10,51.00,6.50
,,2.40,1.20,3.50,0.90
