Latitude,Longitude,CA,MG,Na,K,Cl,So4,HCo3,Co3,No3,RS
-12.3222222222222,-39.2916666666667,126.00,206.00,412.00,10.30,796.00,84.50,549.00,0.00,432.00,0.00
-12.1277777777778,-39.6972222222222,9.30,9.00,101.90,4.26,93.70,38.50,116.00,0.00,7.90,0.00
-13.2611111111111,-41.0222222222222,260.00,85.00,170.00,7.90,502.00,260.00,475.00,0.00,7.60,1607.00
-13.2833333333333,-40.9611111111111,109.00,78.00,128.00,13.40,405.00,70.00,182.00,0.00,124.00,1109.00
-13.3,-40.9611111111111,149.00,92.00,157.00,10.80,518.00,24.80,128.00,0.00,275.00,1354.00
-13.0805555555556,-41.0194444444444,529.00,73.80,403.00,8.80,48.00,2210.00,177.00,0.00,0.50,0.00
-13.2111111111111,-41.0527777777778,195.00,80.00,80.00,4.20,186.00,344.00,490.00,0.00,4.30,1383.00
-13.2138888888889,-41.0305555555556,601.00,161.00,278.00,6.90,700.00,1320.00,427.00,0.00,0.50,0.00
-13.2138888888889,-41.0305555555556,729.00,142.00,232.00,7.60,1125.00,1140.00,332.00,0.00,0.50,3707.60
-13.2027777777778,-40.9888888888889,185.00,28.00,32.50,7.70,146.00,94.00,420.00,0.00,15.30,958.50
-13.2222222222222,-40.9361111111111,227.00,36.50,74.00,5.50,158.00,335.00,357.00,0.00,0.50,1193.00
-12.275,-40.9972222222222,73.30,46.10,55.10,7.40,80.00,87.00,365.00,0.00,4.50,720.00
-12.3361111111111,-40.9055555555556,12.60,12.00,129.00,5.40,214.00,27.80,53.00,0.00,1.00,0.00
-12.3583333333333,-40.8583333333333,14.70,24.30,41.50,11.30,606.00,360.00,159.00,0.00,0.50,1216.00
-12.875,-39.8555555555556,49.80,26.70,106.00,13.00,151.00,48.30,11.40,0.00,214.00,623.00
-12.7,-39.7166666666667,60.00,180.00,995.00,64.50,2060.00,61.10,87.00,0.00,74.70,0.00
-12.7166666666667,-39.1777777777778,2.80,1.90,19.30,1.60,34.00,0.40,15.00,0.00,0.50,0.00
-12.7166666666667,-39.1777777777778,28.20,19.00,160.00,5.20,278.00,38.00,132.00,0.00,0.20,0.00
-12.7166666666667,-39.1777777777778,0.10,1.90,11.30,0.70,17.10,0.80,14.00,0.00,5.20,0.00
-12.7722222222222,-39.0333333333333,13.80,25.30,94.30,7.00,216.00,12.00,35.40,0.00,0.20,0.00
-12.9916666666667,-39.3777777777778,26.10,12.30,63.80,5.40,84.00,8.10,58.00,0.00,107.00,0.00
-12.9694444444444,-39.2611111111111,14.50,15.00,89.70,30.60,125.00,23.60,0.00,0.00,147.00,0.00
-12.45,-39.2333333333333,9.70,11.60,76.30,9.00,156.00,1.90,26.90,0.00,3.80,0.00
-12.4416666666667,-39.2166666666667,16.50,18.50,140.00,11.60,191.00,159.00,177.00,0.00,0.20,0.00
-12.8472222222222,-39.0916666666667,6.10,1.90,6.40,12.50,9.20,8.80,25.00,0.00,10.00,0.00
-12.7555555555556,-39.2111111111111,2.70,3.30,40.00,4.60,34.00,52.00,9.00,0.00,15.00,0.00
-12.1666666666667,-39.3666666666667,28.40,42.60,1230.00,6.55,3,030.00,109.00,714.00,0.00,99.50
-12.1472222222222,-39.3138888888889,48.40,87.20,253.00,2.80,432.00,119.50,372.00,0.00,3.20,0.00
-12.1805555555556,-39.3222222222222,42.50,80.40,354.00,53.00,360.00,73.00,372.00,0.00,460.00,0.00
-12.0972222222222,-41.575,282.00,217.00,155.00,10.00,758.00,454.00,481.00,0.00,0.50,2357.00
-12.0222222222222,-40.9916666666667,278.00,221.00,139.00,20.30,1120.00,28.50,286.00,0.00,11.20,2104.00
-12.0944444444444,-40.9888888888889,291.00,134.00,285.00,29.00,1162.00,62.20,291.00,0.00,3.30,0.00
-12.0944444444444,-40.9888888888889,292.00,112.00,126.00,5.90,674.00,160.00,463.00,0.00,2.50,0.00
-12.775,-41.4902777777778,0.25,0.17,1.55,0.50,2.60,0.50,3.00,0.00,0.30,8.90
-12.8125,-41.8277777777778,2.00,0.80,4.95,0.50,7.00,0.20,11.00,0.00,0.30,26.70
-12.0055555555556,-41.0513888888889,35.50,19.70,12.20,5.10,22.00,5.00,198.00,0.00,1.10,298.00
-12.1138888888889,-41.1,37.50,12.20,8.60,3.10,17.20,6.80,159.00,0.00,0.00,244.40
-12.1138888888889,-41.1,59.30,19.70,15.50,3.80,37.40,13.60,238.00,0.00,0.00,378.30
-12.9472222222222,-41.0944444444444,91.00,11.00,2.80,1.10,4.30,5.70,318.00,0.00,0.10,434.00
-12.05,-40.8180555555556,13.20,6.80,62.50,6.50,100.00,8.80,73.00,0.00,0.00,270.80
-12.0125,-40.5652777777778,1.90,1.30,17.50,3.05,23.80,0.30,16.00,0.00,0.00,63.90
-12.0444444444444,-40.3972222222222,4.00,5.30,62.50,4.10,109.00,9.30,13.00,0.00,0.50,207.20
-12.025,-40.4833333333333,3.60,1.70,18.00,3.10,29.00,6.40,18.20,0.00,0.50,80.00
-12.3069444444444,-40.4541666666667,0.80,0.36,3.35,0.10,9.10,0.40,0.00,0.00,14.10,0.00
-12.1175,-39.7208333333333,1.00,0.97,12.50,0.50,20.80,8.80,3.00,0.00,42.50,0.00
-12.2722222222222,-39.275,4.70,7.10,50.50,1.38,93.10,6.20,20.00,0.00,0.00,0.20
