"Latitude","Longitude","CA","MG","Na","K","Cl","So4","HCo3","Co3","No3","RS"
"-12,975","-39,2541666666667",1.2,1.08,7.5,1.6,15.4,4.1,34.8,0,3.9,34.8
"-12,7402777777778","-39,8475",1.4,1.15,4.8,2.1,15,0.2,14,0,0,42.7
"-12,3916666666667","-38,8138888888889",10.4,3.4,19,1,15,18.43,53.68,0,0,0
"-12,9188888888889","-40,1186111111111",2.9,1.6,18.2,0.5,15,3,40,0,0,0.05
"-12,2833333333333","-38,2166666666667",8.8,5.35,7.75,2.74,14,6.73,24.4,0,25,100
"-12,4772222222222","-41,1916666666667",12.6,6.1,7.5,2,13.9,0.5,66,0,0,0.5
"-12,5333333333333","-38,3166666666667",2.4,1.94,6.4,2.24,13.5,6.73,4.88,0,0,66
"-12,5333333333333","-38,5666666666667",16,3.4,9.5,2,13,5.77,68.32,0,0,120
"-12,8666666666667","-38,4333333333333",9.6,1.46,7,1.74,13,11.53,26.84,0,0,85
"-12,4833333333333","-38,6166666666667",13.6,15.07,67.5,6.2,12.7,8.17,34.16,328,0,0
"-12,8355555555556","-38,9441666666667",4,7.29,8,1,12,0,48.8,0,0,81
"-12,4052777777778","-41,3836111111111",17.8,5.5,5.35,2.15,11.9,2.9,76,0,0,0.5
"-12,6022222222222","-39,4747222222222",4.35,2.65,4.65,0.46,11.9,1.3,13,0,0,0.5
"-12,7105555555556","-41,8255555555556",40,26.73,4,4.6,11,8.8,236.68,0,0,250
"-12,6166666666667","-33,8166666666667",6.4,2.43,5.6,1.56,10.5,6.73,21.96,0,2.3,80
"-12,1711111111111","-41,7213888888889",0.95,0.85,5.25,0.9,10,0.5,6,0,1.7,24.89
"-12,1166666666667","-38,4166666666667",4,1.7,5.8,0.6,10,10.09,12.2,0,0,63
"-12,6","-38,4",1.6,1.46,5.4,0.6,10,4.32,6.1,0,0,34
"-13,0633333333333","-38,7883333333333",27.2,12.63,5,0,10,1.9,145.4,0,0,140
"-12,8472222222222","-39,0916666666667",6.1,1.9,6.4,12.5,9.2,8.8,25,0,10,0
"-12,3069444444444","-40,4541666666667",0.8,0.36,3.35,0.1,9.1,0.4,0,0,14.1,0
"-12,8330555555556","-40,9077777777778",11.2,6.31,6.8,18.6,9,0.8,20.28,0,2.5,142
"-12,6108333333333","-41,6947222222222",2.4,1.9,4.2,1.2,9,1,9.8,0,0,65
"-12,7333333333333","-38,7666666666667",2.4,0.49,4,1,8,4.81,4.88,0,0,25
"-12,5291666666667","-39,9275",9.6,5.4,3.3,0.6,8,0.7,46.4,0,0,90
"-12,7411111111111","-40,2086111111111",8,3.4,2.5,0.4,8,0,34.16,0,0,64
"-13,1147222222222","-38,9027777777778",1.6,1.94,1.6,0.6,7,0.7,7.32,0,0,20.76
"-12,8125","-41,8277777777778",2,0.8,4.95,0.5,7,0.2,11,0,0.3,26.7
"-12,8377777777778","-41,7766666666667",2,0.8,4.95,0.5,7,0.2,11,0,0.3,0
"-12,1675","-41,2694444444445",1.6,2.91,3.4,0.4,7,0.3,12.2,0,0,23
"-13,0177777777778","-40,8127777777778",12.2,4.82,3.55,1.01,6.1,0.6,59,0,0.5,0
"-12,9727777777778","-40,9488888888889",6.15,2.2,2.5,0.8,6,0.2,31,0,0.1,0
"-12,9880555555556","-40,96",11.2,2.91,1.6,0.6,6,0.1,43.92,0,0,80
"-12,9819444444444","-40,5386111111111",10.4,4.08,3.09,0.86,5.8,0.5,49,0,0,0.5
"-12,9991666666667","-40,5844444444444",5.7,2.25,2.3,0.7,5.8,0.2,30,0,0.1,0
